max LAI seen: SCM 6.503e-07   IBM 2.819e-04  (both effectively open)

   age | h SCM1e-4 h SCM1e-8 h IBM1e-4 h IBM1e-8    h free |  SCM/IBM SCM/free
  0.25 |   0.59941   0.59941   0.58899   0.58899   0.59042 |   1.0177   1.0152
  0.50 |   0.95839   0.95839   0.93138   0.93138   0.93328 |   1.0290   1.0269
  0.75 |   1.41073   1.41073   1.36166   1.36166   1.36394 |   1.0360   1.0343
  1.00 |   1.93431   1.93431   1.85921   1.85921   1.86177 |   1.0404   1.0390
  1.25 |   2.50671   2.50671   2.40344   2.40344   2.40617 |   1.0430   1.0418
  1.50 |   3.10821   3.10821   2.97566   2.97566   2.97850 |   1.0445   1.0436
  2.00 |   4.34266   4.34266   4.15078   4.15078   4.15365 |   1.0462   1.0455
  2.50 |   5.56215   5.56215   5.31167   5.31167   5.31445 |   1.0472   1.0466
  3.00 |   6.73031   6.73031   6.42289   6.42289   6.42553 |   1.0479   1.0474

   age |   a SCM1e-4   a SCM1e-8   a IBM1e-4   a IBM1e-8      a free |  SCM/IBM SCM/free
  0.25 |  3.7040e-04  3.7040e-04  3.5027e-04  3.5027e-04  3.5306e-04 |   1.0575   1.0491
  0.50 |  1.7168e-03  1.7168e-03  1.5637e-03  1.5637e-03  1.5742e-03 |   1.0979   1.0906
  0.75 |  6.0734e-03  6.0734e-03  5.4137e-03  5.4137e-03  5.4433e-03 |   1.1219   1.1157
  1.00 |  1.7038e-02  1.7038e-02  1.4970e-02  1.4970e-02  1.5037e-02 |   1.1382   1.1331
  1.25 |  3.9748e-02  3.9748e-02  3.4653e-02  3.4653e-02  3.4782e-02 |   1.1470   1.1428
  1.50 |  8.0272e-02  8.0272e-02  6.9616e-02  6.9616e-02  6.9833e-02 |   1.1531   1.1495
  2.00 |  2.3945e-01  2.3945e-01  2.0658e-01  2.0658e-01  2.0705e-01 |   1.1591   1.1565
  2.50 |  5.3763e-01  5.3763e-01  4.6248e-01  4.6248e-01  4.6327e-01 |   1.1625   1.1605
  3.00 |  1.0024e+00  1.0024e+00  8.6039e-01  8.6039e-01  8.6155e-01 |   1.1651   1.1635
