
=== SCM soil water, birth_rate_y = 1 ===
    time     layer1     layer2     layer3     layer4     layer5          LAI
   0.047   0.309679   0.266560   0.215409   0.214004   0.214000     0.000003
   0.188   0.310613   0.310613   0.310613   0.310611   0.310464     0.000025
   0.500   0.310607   0.310608   0.310601   0.310650   0.310417     0.000268
   1.000   0.310537   0.310535   0.310536   0.310542   0.310515     0.003829
   1.500   0.310145   0.310130   0.310132   0.310140   0.310141     0.024875
   2.000   0.308839   0.308772   0.308769   0.308801   0.308777     0.097378
   2.500   0.305653   0.305438   0.305413   0.305506   0.305419     0.271174
   3.000   0.299221   0.298617   0.298559   0.298715   0.298792     0.585681

=== SCM soil water, birth_rate_y = 1e-06 ===
    time     layer1     layer2     layer3     layer4     layer5          LAI
   0.047   0.309679   0.266560   0.215409   0.214004   0.214000     0.000000
   0.188   0.310613   0.310613   0.310613   0.310611   0.310465     0.000000
   0.500   0.310613   0.310613   0.310613   0.310613   0.310583     0.000000
   1.000   0.310613   0.310613   0.310613   0.310615   0.310587     0.000000
   1.500   0.310613   0.310613   0.310613   0.310615   0.310584     0.000000
   2.000   0.310613   0.310613   0.310613   0.310620   0.310490     0.000000
   2.500   0.310613   0.310613   0.310613   0.310615   0.310583     0.000000
   3.000   0.310613   0.310613   0.310613   0.310618   0.310537     0.000001

stochastic patch soil water: 0.214 at every time (never integrated)
